"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 30 07:32:45 IST 2024","Sun Jun 30 07:33:01 IST 2024","16336","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case0]",""
"passed","Sun Jun 30 08:20:28 IST 2024","Sun Jun 30 08:21:03 IST 2024","35064","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case76]",""
"passed","Sun Jun 30 08:17:51 IST 2024","Sun Jun 30 08:18:32 IST 2024","40885","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case72]",""
"passed","Sun Jun 30 08:06:53 IST 2024","Sun Jun 30 08:07:29 IST 2024","36304","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case57]",""
"passed","Sun Jun 30 07:54:27 IST 2024","Sun Jun 30 07:55:00 IST 2024","32946","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case39]",""
"passed","Sun Jun 30 08:15:47 IST 2024","Sun Jun 30 08:16:29 IST 2024","41961","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case69]",""
"passed","Sun Jun 30 07:51:01 IST 2024","Sun Jun 30 07:51:30 IST 2024","28691","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case33]",""
"passed","Sun Jun 30 07:37:58 IST 2024","Sun Jun 30 07:38:37 IST 2024","39151","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case13]",""
"passed","Sun Jun 30 08:21:49 IST 2024","Sun Jun 30 08:22:28 IST 2024","39164","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case78]",""
"passed","Sun Jun 30 08:03:38 IST 2024","Sun Jun 30 08:04:10 IST 2024","31678","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case52]",""
"passed","Sun Jun 30 08:19:56 IST 2024","Sun Jun 30 08:20:28 IST 2024","31512","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case75]",""
"passed","Sun Jun 30 07:36:12 IST 2024","Sun Jun 30 07:36:43 IST 2024","31372","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case8]",""
"passed","Sun Jun 30 07:52:03 IST 2024","Sun Jun 30 07:52:44 IST 2024","40723","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case35]",""
"passed","Sun Jun 30 07:39:15 IST 2024","Sun Jun 30 07:39:31 IST 2024","16576","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case15]",""
"passed","Sun Jun 30 07:40:50 IST 2024","Sun Jun 30 07:41:28 IST 2024","37870","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case19]",""
"passed","Sun Jun 30 08:02:27 IST 2024","Sun Jun 30 08:02:56 IST 2024","28357","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case50]",""
"passed","Sun Jun 30 07:37:37 IST 2024","Sun Jun 30 07:37:58 IST 2024","20830","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case12]",""
"passed","Sun Jun 30 08:06:14 IST 2024","Sun Jun 30 08:06:52 IST 2024","38360","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case56]",""
"passed","Sun Jun 30 07:55:00 IST 2024","Sun Jun 30 07:55:33 IST 2024","33207","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case40]",""
"passed","Sun Jun 30 08:23:54 IST 2024","Sun Jun 30 08:24:28 IST 2024","33851","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case82]",""
